,Season,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
0,1998-1999,1,San Antonio Spurs,30.1,37,13,39,11,8.06,-0.94,7.12,104.0,95.0,+9.0,88.6,.371,.137,.523,.479,14.6,30.4,.259,.423,13.8,69.5,.198
1,1998-1999,2,Portland Trail Blazers,27.4,35,15,36,14,6.36,-0.69,5.67,104.8,97.7,+7.1,89.2,.341,.171,.521,.473,14.5,31.8,.253,.445,14.9,71.8,.233
2,1998-1999,3,Utah Jazz,30.3,37,13,37,13,6.52,-0.99,5.54,105.8,98.4,+7.4,87.0,.417,.107,.545,.485,16.0,30.0,.320,.441,14.4,70.4,.242
3,1998-1999,4,Miami Heat,30.3,33,17,35,15,4.96,0.15,5.11,104.7,98.9,+5.8,84.8,.354,.226,.540,.494,15.3,27.3,.260,.439,13.6,71.0,.226
4,1998-1999,5,Detroit Pistons,27.7,29,21,32,18,3.42,0.55,3.97,104.2,100.3,+3.9,86.3,.345,.183,.528,.480,15.6,30.5,.256,.468,15.4,72.0,.259
5,1998-1999,6,Indiana Pacers,30.8,33,17,32,18,3.74,0.12,3.86,108.7,104.4,+4.3,86.4,.318,.207,.537,.486,12.8,28.7,.253,.460,12.7,69.9,.236
6,1998-1999,7,Orlando Magic,28.7,33,17,30,20,2.60,0.51,3.11,100.3,97.4,+2.9,88.8,.318,.171,.498,.456,15.4,32.6,.222,.473,16.7,70.8,.181
7,1998-1999,8,Atlanta Hawks,29.6,31,19,31,19,2.90,-0.08,2.82,100.5,97.1,+3.4,85.3,.378,.171,.492,.436,14.5,33.1,.277,.437,13.4,72.1,.202
8,1998-1999,9,Los Angeles Lakers,27.5,31,19,30,20,3.02,-0.35,2.68,107.6,104.3,+3.3,91.6,.382,.174,.538,.498,14.1,30.6,.261,.468,13.3,70.2,.267
9,1998-1999,10,Philadelphia 76ers,26.0,28,22,29,21,2.06,0.50,2.56,99.9,97.6,+2.3,88.6,.383,.096,.494,.439,15.3,34.2,.276,.454,17.1,69.8,.249
